,Codes,Names,ver
187,43.34,Производство малярных и стекольных работ,
188,43.91,Производство кровельных работ,
189,43.99,"Работы строительные специализированные прочие, не включенные в другие группировки",
190,46.32,Торговля оптовая мясом и мясными продуктами,
191,46.32.3,Торговля оптовая консервами из мяса и мяса птицы,
192,46.33,"Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами",
193,46.34,Торговля оптовая напитками,
194,46.35,Торговля оптовая табачными изделиями,
195,46.36,"Торговля оптовая сахаром, шоколадом и сахаристыми кондитерскими изделиями",
196,46.37,"Торговля оптовая кофе, чаем, какао и пряностями",
197,46.38,"Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков",
198,46.39,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",
199,47.11,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",
200,55.20,Деятельность по предоставлению мест для краткосрочного проживания,
201,56.29,Деятельность предприятий общественного питания по прочим видам организации питания,
202,56.30,Подача напитков,
203,46.74.1,Торговля оптовая скобяными изделиями,
204,59.13,"Деятельность по распространению кинофильмов, видеофильмов и телевизионных программ",
205,63.2,Прочая вспомогательная транспортная деятельность,
206,59.14,Деятельность в области демонстрации кинофильмов,
207,60.10,Деятельность в области радиовещания,
208,60.20,Деятельность в области телевизионного вещания,
209,63.91,Деятельность информационных агентств,
210,90.04,Деятельность учреждений культуры и искусства,
211,93.29,Деятельность зрелищно-развлекательная прочая,
212,93.29.9,"Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки",
213,46.75.1,Торговля оптовая удобрениями и агрохимическими продуктами,
214,47.11.1,Торговля розничная замороженными продуктами в неспециализированных магазинах,
215,47.25.1,"Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах",
216,47.29.39,"Торговля розничная прочими пищевыми продуктами в специализированных магазинах, не включенными в другие группировки",
217,47.52.7,"Торговля розничная строительными материалами, не включенными в другие группировки, в специализированных магазинах",
218,47.53.3,Торговля розничная обоями и напольными покрытиями в специализированных магазинах,
219,47.72.1,Торговля розничная обувью в специализированных магазинах,
220,47.78,Торговля розничная прочая в специализированных магазинах,
221,68.31.1,Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе,
222,68.31.2,Предоставление посреднических услуг по аренде недвижимого имущества за вознаграждение или на договорной основе,
223,68.31.3,Предоставление консультационных услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе,
224,68.31.4,Предоставление консультационных услуг по аренде недвижимого имущества за вознаграждение или на договорной основе,
225,46.74,"Торговля оптовая скобяными изделиями, водопроводным и отопительным оборудованием и принадлежностями",
226,66.19,"Деятельность вспомогательная прочая в сфере финансовых услуг, кроме страхования и пенсионного обеспечения",
227,10.10.22,Агломерация каменного угля,
228,68.20.1,Аренда и управление собственным или арендованным жилым недвижимым имуществом,
229,68.31.51,Предоставление посреднических услуг при оценке жилого недвижимого имущества за вознаграждение или на договорной основе,
230,68.31.52,Предоставление посреднических услуг при оценке нежилого недвижимого имущества за вознаграждение или на договорной основе,
231,52.21,"Деятельность вспомогательная, связанная с сухопутным транспортом",
232,63.11,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",
233,69.20,"Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию",
234,43.32.3,"Производство работ по внутренней отделке зданий (включая потолки, раздвижные и съемные перегородки и т. д.)",
235,46.13.1,Деятельность агентов по оптовой торговле лесоматериалами,
236,46.13.2,Деятельность агентов по оптовой торговле строительными материалами,
237,46.71,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",
238,46.71.1,Торговля оптовая твердым топливом,
239,46.71.2,"Торговля оптовая моторным топливом, включая авиационный бензин",
240,46.71.3,Торговля оптовая сырой нефтью,
241,46.71.4,Торговля оптовая природным (естественным) газом,
242,46.71.5,Торговля оптовая сжиженными углеводородными газами,
243,46.71.9,Торговля оптовая прочим топливом и подобными продуктами,
